Property ID,Building Type,Year Built,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Th50000124,Apartment,2001,2022-06-20,1,20030,1029,1 out of 16,Plot Area,Area 768,Rajkot,Furnished,Bachelors/Family,1,Contact Owner
Th50000125,Apartment,2021,2022-05-15,1,13690,723,3 out of 12,Super Area,Area 281,Mumbai,Unfurnished,Bachelors,3,Contact Agent
Th50000126,Apartment,2013,2022-04-02,3,22830,1278,2 out of 15,Super Area,Area 120,Mysore,Furnished,Family,3,Contact Owner
Th50000127,Apartment,2005,2022-06-01,2,11968,1316,3 out of 14,Built Area,Area 523,Ranchi,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000128,Apartment,2020,2022-05-15,1,20536,1143,6 out of 17,Built Area,Area 913,Pune,Furnished,Bachelors/Family,1,Contact Agent
Th50000129,Apartment,2020,2022-05-27,2,19321,1312,2 out of 14,Super Area,Area 644,Bangalore,Unfurnished,Family,2,Contact Agent
Th50000130,Apartment,2002,2022-07-07,3,13045,1119,5 out of 11,Built Area,Area 342,Coimbatore,Unfurnished,Bachelors,2,Contact Owner
Th50000131,Apartment,2019,2022-05-14,1,10394,801,6 out of 13,Built Area,Area 108,Ghaziabad,Unfurnished,Family,1,Contact Owner
Th50000132,Apartment,1995,2022-04-21,2,16675,923,9 out of 8,Super Area,Area 710,Mysore,Semi-Furnished,Family,2,Contact Agent
Th50000133,Apartment,1995,2022-04-28,2,8618,890,1 out of 18,Plot Area,Area 313,Faridabad,Semi-Furnished,Family,3,Contact Agent
Th50000134,Apartment,1992,2022-05-06,1,5370,1051,3 out of 13,Carpet Area,Area 910,Jaipur,Unfurnished,Family,3,Contact Owner
Th50000135,Apartment,1991,2022-05-28,2,21336,1073,10 out of 17,Plot Area,Area 913,Gwalior,Semi-Furnished,Family,2,Contact Agent
Th50000136,Apartment,1993,2022-06-03,1,4801,675,2 out of 19,Built Area,Area 602,Vijayawada,Semi-Furnished,Family,2,Contact Agent
Th50000137,Apartment,1997,2022-05-29,3,5020,838,4 out of 17,Carpet Area,Area 379,Chandigarh,Furnished,Bachelors/Family,2,Contact Owner
Th50000138,Apartment,2020,2022-07-07,2,4903,550,7 out of 3,Built Area,Area 126,Patna,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000139,Apartment,1996,2022-06-07,2,3900,580,2 out of 10,Carpet Area,Area 165,Ludhiana,Unfurnished,Bachelors/Family,3,Contact Agent
Th50000140,Apartment,1999,2022-05-07,3,5496,1078,8 out of 13,Super Area,Area 965,Hyderabad,Furnished,Family,3,Contact Owner
Th50000141,Apartment,2001,2022-05-17,3,19365,1068,10 out of 12,Built Area,Area 664,Meerut,Semi-Furnished,Bachelors/Family,2,Contact Owner
Th50000142,Apartment,1999,2022-04-07,3,21494,1254,10 out of 4,Plot Area,Area 271,Thane,Semi-Furnished,Family,1,Contact Owner
Th50000143,Apartment,2010,2022-06-10,1,5152,923,4 out of 20,Carpet Area,Area 754,Ranchi,Unfurnished,Family,1,Contact Owner
Th50000144,Apartment,1994,2022-04-03,3,9042,546,4 out of 9,Built Area,Area 140,Mumbai,Unfurnished,Family,3,Contact Owner
Th50000145,Apartment,2004,2022-06-09,1,18947,1175,6 out of 11,Carpet Area,Area 364,Nagpur,Semi-Furnished,Bachelors,3,Contact Owner
Th50000146,Apartment,2005,2022-04-04,1,16937,928,3 out of 15,Super Area,Area 326,Ranchi,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000147,Apartment,1999,2022-06-27,3,11808,639,5 out of 7,Super Area,Area 924,Ludhiana,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000148,Apartment,2012,2022-04-09,3,6934,874,2 out of 17,Super Area,Area 475,Vijayawada,Semi-Furnished,Family,1,Contact Agent
Th50000149,Apartment,1999,2022-06-13,1,7183,581,9 out of 18,Built Area,Area 243,Jaipur,Furnished,Bachelors,3,Contact Owner
Th50000150,Apartment,2006,2022-05-15,2,15829,1326,1 out of 20,Plot Area,Area 847,Chennai,Unfurnished,Bachelors/Family,1,Contact Agent
Th50000151,Apartment,2011,2022-04-28,3,8050,757,6 out of 3,Plot Area,Area 834,Mangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50000152,Apartment,1999,2022-07-09,3,16861,1357,7 out of 13,Carpet Area,Area 864,Nashik,Unfurnished,Family,3,Contact Agent
Th50000153,Apartment,1999,2022-06-07,1,9752,1185,4 out of 20,Carpet Area,Area 635,Varanasi,Furnished,Bachelors,3,Contact Agent
Th50000154,Apartment,2009,2022-04-24,3,21931,1201,9 out of 8,Plot Area,Area 777,Chennai,Furnished,Bachelors,2,Contact Owner
Th50000155,Apartment,2016,2022-05-31,2,8182,648,3 out of 18,Super Area,Area 458,Visakhapatnam,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50000156,Apartment,2003,2022-05-27,1,4295,801,4 out of 14,Carpet Area,Area 432,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
Th50000157,Apartment,2019,2022-05-14,1,14477,857,6 out of 17,Super Area,Area 836,Ahmedabad,Furnished,Bachelors/Family,3,Contact Agent
Th50000158,Apartment,2010,2022-06-15,2,10231,946,2 out of 9,Super Area,Area 202,Delhi,Unfurnished,Family,3,Contact Owner
Th50000159,Apartment,2016,2022-04-25,1,11103,944,4 out of 6,Built Area,Area 383,Ludhiana,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000160,Apartment,2012,2022-05-28,3,14370,1262,5 out of 9,Super Area,Area 918,Thane,Unfurnished,Bachelors/Family,2,Contact Owner
Th50000161,Apartment,1994,2022-06-15,1,10534,666,8 out of 13,Carpet Area,Area 210,Bhopal,Furnished,Bachelors,1,Contact Owner
Th50000162,Apartment,2001,2022-07-10,2,9772,565,7 out of 5,Built Area,Area 906,Aurangabad,Unfurnished,Bachelors/Family,3,Contact Owner
Th50000163,Apartment,2006,2022-06-29,2,3891,588,10 out of 12,Carpet Area,Area 341,Mysore,Furnished,Bachelors,3,Contact Owner
Th50000164,Apartment,2013,2022-05-27,3,16573,915,6 out of 20,Super Area,Area 579,Kolkata,Semi-Furnished,Family,1,Contact Agent
Th50000165,Apartment,2018,2022-06-07,1,20669,1350,7 out of 16,Super Area,Area 494,Faridabad,Semi-Furnished,Bachelors,3,Contact Owner
Th50000166,Apartment,1991,2022-05-15,1,11820,727,8 out of 4,Carpet Area,Area 992,Meerut,Unfurnished,Bachelors,2,Contact Owner
Th50000167,Apartment,2001,2022-07-10,2,12532,1348,8 out of 11,Super Area,Area 907,Coimbatore,Unfurnished,Bachelors,2,Contact Agent
Th50000168,Apartment,2013,2022-07-07,1,12445,1182,6 out of 16,Built Area,Area 758,Noida,Furnished,Bachelors/Family,2,Contact Owner
Th50000169,Apartment,2014,2022-05-28,3,16448,1097,4 out of 10,Carpet Area,Area 999,Vijayawada,Furnished,Family,1,Contact Agent
Th50000170,Apartment,2000,2022-04-12,3,23691,1323,9 out of 11,Plot Area,Area 661,Kolkata,Semi-Furnished,Family,2,Contact Owner
Th50000171,Apartment,2007,2022-04-07,3,16870,995,5 out of 3,Built Area,Area 150,Kalyan-Dombivli,Unfurnished,Bachelors/Family,1,Contact Owner
Th50000172,Apartment,2013,2022-05-16,3,12431,665,8 out of 17,Carpet Area,Area 669,Lucknow,Semi-Furnished,Bachelors/Family,1,Contact Owner
Th50000173,Apartment,2003,2022-05-22,1,13577,738,10 out of 5,Built Area,Area 230,Ranchi,Unfurnished,Bachelors,3,Contact Agent
Th50000174,Apartment,1992,2022-04-22,3,11963,1384,10 out of 18,Super Area,Area 899,Ranchi,Furnished,Bachelors/Family,2,Contact Owner
Th50000175,Apartment,1996,2022-04-03,3,6519,988,6 out of 17,Carpet Area,Area 674,Vijayawada,Furnished,Bachelors/Family,3,Contact Owner
Th50000176,Apartment,2008,2022-05-09,2,11389,1190,6 out of 16,Super Area,Area 647,Bangalore,Furnished,Family,1,Contact Owner
Th50000177,Apartment,1991,2022-05-20,3,16933,859,8 out of 18,Plot Area,Area 526,Indore,Furnished,Bachelors/Family,2,Contact Owner
Th50000178,Apartment,2016,2022-06-06,1,14161,1118,5 out of 3,Built Area,Area 611,Gwalior,Unfurnished,Family,1,Contact Owner
Th50000179,Apartment,2014,2022-07-08,3,16826,1150,4 out of 10,Built Area,Area 281,Rajkot,Semi-Furnished,Bachelors/Family,3,Contact Owner
Th50000180,Apartment,2007,2022-05-05,3,8622,1152,5 out of 17,Carpet Area,Area 992,Nashik,Semi-Furnished,Family,1,Contact Owner
Th50000181,Apartment,1990,2022-06-06,2,14360,948,2 out of 7,Built Area,Area 179,Navi Mumbai,Semi-Furnished,Family,3,Contact Agent
Th50000182,Apartment,2004,2022-04-01,1,14783,766,5 out of 18,Super Area,Area 978,Faridabad,Furnished,Bachelors/Family,1,Contact Owner
Th50000183,Apartment,2005,2022-05-18,2,5349,685,7 out of 19,Plot Area,Area 996,Navi Mumbai,Furnished,Family,2,Contact Owner
Th50000184,Apartment,2004,2022-05-16,2,12643,1022,3 out of 8,Built Area,Area 628,Ahmedabad,Semi-Furnished,Bachelors,3,Contact Agent
